symbol,trades_train,win_rate_train,net_pnl_train,profit_factor_train,max_drawdown_train,trades_test,win_rate_test,net_pnl_test,profit_factor_test,max_drawdown_test
TCS,7,28.6,-5536.47,0.57,-2.54,4,50.0,3239.5,1.62,-1.03
HDFCBANK,6,66.7,11273.33,3.15,-1.04,5,40.0,3296.5,1.43,-1.53
BHARTIARTL,13,38.5,29834.04,2.36,-2.6,9,22.2,-13269.09,0.26,-3.12
ICICIBANK,7,14.3,-3775.08,0.75,-2.04,3,100.0,10799.08,0.0,0.0
INFY,14,50.0,12286.93,1.69,-1.51,4,0.0,-10208.62,0.0,-2.04
SBIN,11,27.3,-4367.22,0.79,-2.66,9,44.4,8686.34,1.66,-1.06
HINDUNILVR,11,54.5,13697.18,2.09,-1.52,5,0.0,-12637.1,0.0,-2.53
KOTAKBANK,12,58.3,18826.58,2.43,-1.04,3,66.7,9682.1,4.77,-0.51
AXISBANK,13,38.5,1083.89,1.05,-1.56,7,28.6,-5948.48,0.44,-1.66
WIPRO,19,36.8,-434.42,0.99,-3.55,1,0.0,-2567.63,0.0,-0.51
BAJFINANCE,13,46.2,3658.01,1.2,-1.53,7,57.1,9193.87,2.17,-1.03
MARUTI,18,33.3,815.26,1.03,-2.4,5,20.0,909.93,1.09,-1.97
SUNPHARMA,13,30.8,9862.62,1.42,-2.88,4,0.0,-10346.87,0.0,-2.07
ULTRACEMCO,18,33.3,-5940.36,0.79,-2.38,0,0.0,0.0,0.0,0.0
NESTLEIND,10,50.0,13903.44,2.03,-1.56,6,50.0,13057.86,3.39,-1.05
ASIANPAINT,12,41.7,3833.29,1.22,-2.1,9,44.4,3650.51,1.28,-2.03
ADANIENT,24,58.3,36380.76,2.46,-1.98,3,66.7,4738.54,2.89,-0.5
POWERGRID,22,54.5,25715.47,1.97,-2.62,8,25.0,-4857.34,0.68,-3.06
ONGC,13,53.8,51277.08,4.01,-2.09,7,14.3,-11792.37,0.17,-2.36
TECHM,16,37.5,-1225.65,0.95,-3.51,2,100.0,8445.78,0.0,0.0
BAJAJFINSV,15,40.0,6596.31,1.29,-2.54,4,75.0,15789.82,11.87,-0.28
DRREDDY,11,54.5,21027.79,2.62,-1.03,4,0.0,-8380.48,0.0,-1.68
CIPLA,16,31.2,-482.7,0.98,-3.57,3,0.0,-7665.35,0.0,-1.53
COALINDIA,17,52.9,138245.56,6.25,-2.59,11,27.3,-6136.08,0.68,-1.8
